dir,iot,ext,sport,dport,sizeBin,label
1,172.16.3.4,172.16.4.7,6.56214,6.22,M,login
1,172.16.5.5,172.16.4.7,6.58894,6.22,M,login
1,172.16.1.13,172.16.5.10,6.52992,6.22,M,login
1,172.16.5.8,172.16.2.6,6.52352,6.22,M,login
1,172.16.2.14,172.16.4.7,6.40204,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56852,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56592,6.22,M,login
1,172.16.7.6,192.168.1.6,6.38892,6.22,M,login
1,172.16.7.12,172.16.4.7,6.42562,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52038,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51908,6.22,M,login
1,172.16.4.5,192.168.1.6,6.38390,6.22,M,login
1,172.16.4.4,192.168.1.6,6.49306,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59134,6.22,M,login
1,172.16.5.8,172.16.2.6,6.52062,6.22,M,login
1,172.16.5.8,172.16.2.6,6.51906,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52040,6.22,M,login
1,172.16.5.3,172.16.2.6,6.53564,6.22,M,login
1,172.16.2.12,172.16.7.10,6.57564,6.22,M,login
1,172.16.7.4,172.16.5.11,6.57784,6.22,M,login
1,172.16.4.8,192.168.1.6,6.56600,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50040,6.22,M,login
1,172.16.6.4,172.16.4.13,6.39714,6.22,M,login
1,172.16.1.8,192.168.1.6,6.39812,6.22,M,login
1,172.16.1.8,192.168.1.6,6.39938,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37568,6.22,M,login
1,172.16.2.13,192.168.1.41,6.51974,6.22,M,login
1,172.16.2.13,172.16.4.13,6.60534,6.22,M,login
1,172.16.3.10,172.16.4.7,6.51558,6.22,M,login
1,172.16.4.5,192.168.1.6,6.37822,6.22,M,login
1,172.16.2.13,172.16.4.13,6.60804,6.22,M,login
1,172.16.7.5,172.16.4.10,6.50296,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56392,6.22,M,login
1,172.16.1.12,172.16.2.6,6.35948,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46762,6.22,M,login
1,172.16.6.4,172.16.5.13,6.38676,6.22,M,login
1,172.16.4.5,172.16.5.13,6.47226,6.22,M,login
1,172.16.7.6,172.16.4.7,6.42910,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40120,6.22,M,login
1,172.16.1.3,172.16.6.11,6.50030,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50120,6.22,M,login
1,172.16.7.6,172.16.4.7,6.42878,6.22,M,login
1,172.16.1.8,172.16.2.6,6.50490,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59266,6.22,M,login
1,172.16.6.9,172.16.1.9,6.43624,6.22,M,login
1,172.16.2.3,172.16.4.13,6.43788,6.22,M,login
1,172.16.3.4,192.168.1.41,6.59208,6.22,M,login
1,172.16.1.12,192.168.1.6,6.58464,6.22,M,login
1,172.16.4.5,172.16.5.13,6.47274,6.22,M,login
1,172.16.2.12,172.16.1.9,6.37400,6.22,M,login
